date,AS_FTSE_DM_STAY_2022_Q2,meta
2022-06-06 23:59:59,87.13598054184979,c
2022-06-07 00:00:00,65.06130142120219,
2022-06-07 01:00:00,69.18633904423962,
2022-06-07 02:30:00,69.36986513502252,
2022-06-07 03:00:00,69.73286641719669,
2022-06-07 18:30:00,67.2833120806744,
2022-06-07 20:00:00,66.70185979282151,
2022-06-07 23:00:00,43.642210069925,
2022-06-07 23:59:59,50.20672335691292,c
2022-06-08 00:00:00,62.44951175212689,
2022-06-08 01:00:00,67.8612514409462,
2022-06-08 02:30:00,60.699463716310476,
2022-06-08 03:00:00,60.61554174898966,
2022-06-08 18:30:00,54.829463795007214,
2022-06-08 20:00:00,56.02364429473162,
2022-06-08 23:00:00,71.4526262561855,
2022-06-08 23:59:59,69.3682005055792,c
2022-06-09 00:00:00,54.96742816689102,
2022-06-09 01:00:00,56.501473840039566,
2022-06-09 02:30:00,62.82771513071796,
2022-06-09 03:00:00,64.46676416707133,
2022-06-09 18:30:00,63.256914362061124,
2022-06-09 20:00:00,64.21058958112218,
2022-06-09 23:00:00,80.31455734291724,
2022-06-09 23:59:59,77.73061755369305,c
2022-06-10 00:00:00,71.94436829222327,
2022-06-10 01:00:00,70.31360585138633,
2022-06-10 02:30:00,74.98609245834027,
2022-06-10 03:00:00,73.41420435515313,
2022-06-10 18:30:00,73.41420435515313,
2022-06-10 20:00:00,73.41420435515313,
2022-06-10 23:00:00,73.41420435515313,
2022-06-10 23:59:59,80.39552565688057,w
2022-06-13 00:00:00,96.06143139534649,
2022-06-13 01:00:00,94.97379545752216,
2022-06-13 02:30:00,92.24201595981816,
2022-06-13 03:00:00,91.66504477288476,
2022-06-13 18:30:00,91.14013293416471,
2022-06-13 20:00:00,88.15224685532144,
2022-06-13 23:00:00,105.99154507433062,
2022-06-13 23:59:59,105.3408875032028,c
2022-06-14 00:00:00,118.5959548064119,
2022-06-14 01:00:00,127.00697581033756,
2022-06-14 02:30:00,133.79966826487455,
2022-06-14 03:00:00,133.73751198434712,
2022-06-14 18:30:00,132.2228122639506,
2022-06-14 20:00:00,130.0606261953926,
2022-06-14 23:00:00,104.10659513580387,
2022-06-14 23:59:59,94.6191817754183,c
2022-06-15 00:00:00,84.76233790296283,
2022-06-15 01:00:00,89.0309497518119,
2022-06-15 02:30:00,97.53983848428527,
2022-06-15 03:00:00,95.61402183433763,
2022-06-15 18:30:00,95.56035549181397,
2022-06-15 20:00:00,95.68852202812228,
2022-06-15 23:00:00,105.17454755538549,
2022-06-15 23:59:59,116.33961070774882,c
2022-06-16 00:00:00,129.60417628886978,
