date,MSCI_EM_ADR_HEDGED_2021_Q4,meta
2021-12-02 15:30:30,-252.87611020801944,
2021-12-02 23:59:59,-247.15535228162116,c
2021-12-03 00:00:00,-290.58817367268955,
2021-12-03 10:00:00,-265.2225949893858,
2021-12-03 10:30:00,-243.06468076155534,
2021-12-03 12:00:00,-250.9191046353725,
2021-12-03 13:30:00,-235.4276237712752,
2021-12-03 15:00:00,-205.63748584506038,
2021-12-03 15:30:30,-205.63748584506038,
2021-12-03 23:59:59,-186.52291014685477,w
2021-12-06 00:00:00,-198.9664366360205,
2021-12-06 10:00:00,-182.79153872647498,
2021-12-06 10:30:00,-204.3491299995378,
2021-12-06 12:00:00,-243.76270103189768,
2021-12-06 13:30:00,-242.77532606212446,
2021-12-06 15:00:00,-246.2201943561904,
2021-12-06 15:30:30,-246.2201943561904,
2021-12-06 23:59:59,-228.08373737516945,c
2021-12-07 00:00:00,-205.73136472590227,
2021-12-07 10:00:00,-169.48476379571707,
2021-12-07 10:30:00,-167.66670518427952,
2021-12-07 12:00:00,-231.30421933041714,
2021-12-07 13:30:00,-218.8977930257356,
2021-12-07 15:00:00,-241.5255649188406,
2021-12-07 15:30:30,-241.5255649188406,
2021-12-07 23:59:59,-255.6274911639632,c
2021-12-08 00:00:00,-220.0868468194002,
2021-12-08 10:00:00,-256.9259143080709,
2021-12-08 10:30:00,-219.77233062266885,
2021-12-08 12:00:00,-206.48627989539273,
2021-12-08 13:30:00,-208.4642080722865,
2021-12-08 15:00:00,-213.468465965463,
2021-12-08 15:30:30,-213.468465965463,
2021-12-08 23:59:59,-245.3530187522847,c
2021-12-09 00:00:00,-198.18894555065037,
2021-12-09 10:00:00,-219.58635323631427,
2021-12-09 10:30:00,-249.45813099933457,
2021-12-09 12:00:00,-238.40771205067563,
2021-12-09 13:30:00,-237.21263244826014,
2021-12-09 15:00:00,-241.58697080897548,
2021-12-09 15:30:30,-241.58697080897548,
2021-12-09 23:59:59,-205.71212407381495,c
2021-12-10 00:00:00,-230.9861800860025,
2021-12-10 10:00:00,-223.19690156221384,
2021-12-10 10:30:00,-237.64556513979687,
2021-12-10 12:00:00,-307.2007201198328,
2021-12-10 13:30:00,-295.5150185591615,
2021-12-10 15:00:00,-317.46074712191876,
2021-12-10 15:30:30,-317.46074712191876,
2021-12-10 23:59:59,-320.9086503974671,w
2021-12-13 00:00:00,-362.6171062140186,
2021-12-13 10:00:00,-343.1280676547033,
2021-12-13 10:30:00,-363.53841806187665,
2021-12-13 12:00:00,-406.0887895755327,
2021-12-13 13:30:00,-404.7409238195622,
2021-12-13 15:00:00,-389.43178568778785,
2021-12-13 15:30:30,-389.43178568778785,
2021-12-13 23:59:59,-357.3663732683807,c
2021-12-14 00:00:00,-363.42643418054934,
2021-12-14 10:00:00,-340.247333734573,
2021-12-14 10:30:00,-321.72464348050073,
2021-12-14 12:00:00,-368.35910824886537,
2021-12-14 13:30:00,-376.9231959435758,
2021-12-14 15:00:00,-364.9479349889126,
2021-12-14 15:30:30,-364.9479349889126,
2021-12-14 23:59:59,-371.5940362846328,c
2021-12-15 00:00:00,-410.7599321000822,
2021-12-15 10:00:00,-408.2477840038739,
2021-12-15 10:30:00,-423.51627385240306,
2021-12-15 12:00:00,-455.4886396805281,
2021-12-15 13:30:00,-485.9465917901729,
2021-12-15 15:00:00,-467.3093022709962,
2021-12-15 15:30:30,-467.3093022709962,
2021-12-15 23:59:59,-450.61483572788154,c
2021-12-16 00:00:00,-449.3856578255271,
2021-12-16 10:00:00,-456.6317939060722,
2021-12-16 10:30:00,-449.8356716378196,
2021-12-16 12:00:00,-498.932328400818,
2021-12-16 13:30:00,-479.20395690103703,
