date,MSCI_FACT_INTL_2022_Q2,meta
2022-06-20 00:00:00,-75.32509997570747,
2022-06-20 10:00:00,-72.00216665436125,
2022-06-20 10:30:00,-73.9028480483089,
2022-06-20 12:00:00,-74.96916821958521,
2022-06-20 13:30:00,-73.95033327201665,
2022-06-20 15:00:00,-73.31064328184564,
2022-06-20 15:30:30,-73.31064328184564,
2022-06-20 23:59:59,-73.31064328184564,c
2022-06-21 00:00:00,-72.15247409592067,
2022-06-21 10:00:00,-86.51425254766832,
2022-06-21 10:30:00,-85.87587792636964,
2022-06-21 12:00:00,-81.19240467521752,
2022-06-21 13:30:00,-67.58241539970203,
2022-06-21 15:00:00,-58.478678697392326,
2022-06-21 15:30:30,-58.478678697392326,
2022-06-21 23:59:59,-58.58479910003663,c
