date,AS_FTSE_AS_EM_AW_STAYS_2021_Q4,meta
2022-01-03 03:00:00,-56.790025944880654,
2022-01-03 18:30:00,-56.790025944880654,
2022-01-03 20:00:00,-56.790025944880654,
2022-01-03 23:00:00,-52.127785925221815,
2022-01-03 23:59:59,-32.601197668331224,c
2022-01-04 00:00:00,-45.40229097823112,
2022-01-04 01:00:00,-58.32150963061167,
2022-01-04 02:30:00,-47.85668590658133,
2022-01-04 03:00:00,-46.95249768104986,
2022-01-04 18:30:00,-46.95249768104986,
2022-01-04 20:00:00,-46.95249768104986,
2022-01-04 23:00:00,-60.683807585948216,
2022-01-04 23:59:59,-54.093286335929406,c
2022-01-05 00:00:00,-61.4689485465301,
2022-01-05 01:00:00,-92.45669188263628,
2022-01-05 02:30:00,-102.67514767429202,
2022-01-05 03:00:00,-99.50366295343065,
2022-01-05 18:30:00,-99.50366295343065,
2022-01-05 20:00:00,-99.50366295343065,
2022-01-05 23:00:00,-38.50235228253359,
2022-01-05 23:59:59,-51.91187408480346,c
2022-01-06 00:00:00,-70.0805292073469,
2022-01-06 01:00:00,-85.94768456918246,
2022-01-06 02:30:00,-92.96712743948729,
2022-01-06 03:00:00,-80.51737422968017,
2022-01-06 18:30:00,-80.51737422968017,
2022-01-06 20:00:00,-80.51737422968017,
2022-01-06 23:00:00,-117.75599441348777,
2022-01-06 23:59:59,-109.74624222643934,c
2022-01-07 00:00:00,-115.41548117938328,
2022-01-07 01:00:00,-92.57881510146854,
2022-01-07 02:30:00,-95.9835729325091,
2022-01-07 03:00:00,-88.94186963752918,
2022-01-07 18:30:00,-88.94186963752918,
2022-01-07 20:00:00,-88.94186963752918,
2022-01-07 23:00:00,-88.94186963752918,
2022-01-07 23:59:59,-91.93557184303336,w
