date,CRSP_AD_HEDGED_2021_Q4,meta
2022-01-03 15:00:00,93.61788451325067,
2022-01-03 15:30:30,93.61788451325067,
2022-01-03 23:59:59,92.35892295383637,c
2022-01-04 00:00:00,101.59045722263873,
2022-01-04 10:00:00,70.76871878594336,
2022-01-04 10:30:00,63.378161270560625,
2022-01-04 12:00:00,59.62408325339662,
2022-01-04 13:30:00,69.37234645711608,
2022-01-04 15:00:00,77.2255738600209,
2022-01-04 15:30:30,77.2255738600209,
2022-01-04 23:59:59,76.19066826893494,c
2022-01-05 00:00:00,85.10515377988672,
2022-01-05 10:00:00,57.09839924032498,
2022-01-05 10:30:00,57.312886401050164,
2022-01-05 12:00:00,43.980028373808565,
2022-01-05 13:30:00,44.96555490736442,
2022-01-05 15:00:00,16.15547010007647,
2022-01-05 15:30:30,16.15547010007647,
2022-01-05 23:59:59,26.13378607478471,c
2022-01-06 00:00:00,41.400082073445944,
2022-01-06 10:00:00,15.429312458838552,
2022-01-06 10:30:00,21.39974113652434,
2022-01-06 12:00:00,15.164688497289575,
2022-01-06 13:30:00,23.662495063038747,
2022-01-06 15:00:00,16.607232359406964,
2022-01-06 15:30:30,16.607232359406964,
2022-01-06 23:59:59,23.740887295023057,c
2022-01-07 00:00:00,18.566957185578815,
2022-01-07 10:00:00,2.8672204658831646,
2022-01-07 10:30:00,-0.0672246189400596,
2022-01-07 12:00:00,-9.22938877263104,
2022-01-07 13:30:00,-21.438467037330753,
2022-01-07 15:00:00,-20.51028967997638,
2022-01-07 15:30:30,-20.51028967997638,
2022-01-07 23:59:59,-14.695994314980979,w
2022-01-10 00:00:00,-14.942806986025062,
2022-01-10 10:00:00,-68.75292602141658,
2022-01-10 10:30:00,-72.3794716220628,
2022-01-10 12:00:00,-41.96946345958852,
2022-01-10 13:30:00,-50.243235292855466,
2022-01-10 15:00:00,-44.86239651427116,
2022-01-10 15:30:30,-44.86239651427116,
2022-01-10 23:59:59,-56.80942955361853,c
2022-01-11 00:00:00,-38.55287920882915,
2022-01-11 10:00:00,-34.66815046361768,
2022-01-11 10:30:00,-52.72105957006346,
2022-01-11 12:00:00,-41.80426065338839,
2022-01-11 13:30:00,-47.31830405028504,
2022-01-11 15:00:00,-45.66667566247034,
2022-01-11 15:30:30,-45.66667566247034,
2022-01-11 23:59:59,-44.15660380413568,c
2022-01-12 00:00:00,-28.54853263391422,
2022-01-12 10:00:00,-74.4973824500654,
2022-01-12 10:30:00,-74.10080874741432,
2022-01-12 12:00:00,-66.03293064708285,
2022-01-12 13:30:00,-71.02565745649125,
2022-01-12 15:00:00,-60.729586390167775,
2022-01-12 15:30:30,-60.729586390167775,
2022-01-12 23:59:59,-66.34923769847,c
2022-01-13 00:00:00,-77.69770224798316,
2022-01-13 10:00:00,-87.60634093049966,
2022-01-13 10:30:00,-99.58456505301683,
2022-01-13 12:00:00,-92.98079015952172,
2022-01-13 13:30:00,-95.47331705582143,
2022-01-13 15:00:00,-107.42841741672189,
2022-01-13 15:30:30,-107.42841741672189,
2022-01-13 23:59:59,-93.49021766896472,c
2022-01-14 00:00:00,-86.66436726140623,
2022-01-14 10:00:00,-99.39995722743957,
2022-01-14 10:30:00,-109.00585520182977,
2022-01-14 12:00:00,-130.79272951709163,
2022-01-14 13:30:00,-148.23070187071704,
2022-01-14 15:00:00,-145.8585037276845,
2022-01-14 15:30:30,-145.8585037276845,
2022-01-14 23:59:59,-148.72696099152188,w
