date,EU_MSCI_DM_SC_ALL_2021_Q4,meta
2021-12-24 00:00:00,-244.2213411043167,
2021-12-24 03:30:00,-233.79039308774009,
2021-12-24 04:00:00,-234.63943524870774,
2021-12-24 06:00:00,-223.21581288454217,
2021-12-24 08:00:00,-223.21581288454217,
2021-12-24 10:30:00,-223.21581288454217,
2021-12-24 11:00:00,-223.21581288454217,
2021-12-24 23:59:59,-219.76542081189746,w
2021-12-27 00:00:00,-219.19388048444125,
2021-12-27 03:30:00,-214.35571479911778,
2021-12-27 04:00:00,-217.01722834289558,
2021-12-27 06:00:00,-189.02670006938843,
2021-12-27 08:00:00,-180.65911142164077,
2021-12-27 10:30:00,-169.1276189764676,
2021-12-27 11:00:00,-174.7208043927003,
2021-12-27 23:59:59,-163.84091083471412,c
2021-12-28 00:00:00,-149.16228664930986,
2021-12-28 03:30:00,-122.92283657188818,
2021-12-28 04:00:00,-118.92450755044774,
2021-12-28 06:00:00,-88.41633187262414,
2021-12-28 08:00:00,-76.75932126360931,
2021-12-28 10:30:00,-112.18354278706829,
2021-12-28 11:00:00,-115.00021776363064,
2021-12-28 23:59:59,-117.75519646062276,c
