date,EU_MSCI_EM_AD_2021_Q4,meta
2021-12-16 23:59:59,-632.0999619240138,c
2021-12-17 00:00:00,-625.7795915065763,
2021-12-17 03:30:00,-590.4223650288423,
2021-12-17 04:00:00,-568.6594570718808,
2021-12-17 06:00:00,-599.8965109525598,
2021-12-17 08:00:00,-553.1791119126901,
2021-12-17 10:30:00,-553.1791119126901,
2021-12-17 11:00:00,-553.1791119126901,
2021-12-17 23:59:59,-597.3379246281056,w
2021-12-20 00:00:00,-567.3156997648839,
2021-12-20 03:30:00,-609.9331034043862,
2021-12-20 04:00:00,-625.305116272646,
2021-12-20 06:00:00,-621.0062865509844,
2021-12-20 08:00:00,-641.9583878193862,
2021-12-20 10:30:00,-641.9583878193862,
2021-12-20 11:00:00,-641.9583878193862,
2021-12-20 23:59:59,-644.7402476922234,c
2021-12-21 00:00:00,-621.0378198121743,
2021-12-21 03:30:00,-669.0889838608509,
2021-12-21 04:00:00,-679.3016005502868,
2021-12-21 06:00:00,-666.3239373707675,
2021-12-21 08:00:00,-675.0939185070802,
2021-12-21 10:30:00,-675.0939185070802,
2021-12-21 11:00:00,-675.0939185070802,
2021-12-21 23:59:59,-681.0813648538497,c
2021-12-22 00:00:00,-641.5790325895869,
2021-12-22 03:30:00,-652.5758013030209,
2021-12-22 04:00:00,-654.8230872645563,
2021-12-22 06:00:00,-639.2140673636677,
2021-12-22 08:00:00,-647.9426416305978,
2021-12-22 10:30:00,-647.9426416305978,
2021-12-22 11:00:00,-647.9426416305978,
2021-12-22 23:59:59,-639.9989392990174,c
2021-12-23 00:00:00,-617.8773285387033,
2021-12-23 03:30:00,-652.9330520139083,
2021-12-23 04:00:00,-671.7890830260476,
2021-12-23 06:00:00,-670.3906442384414,
2021-12-23 08:00:00,-678.8342818631772,
2021-12-23 10:30:00,-678.8342818631772,
2021-12-23 11:00:00,-678.8342818631772,
2021-12-23 23:59:59,-668.440318311561,c
2021-12-24 00:00:00,-649.4791971467384,
2021-12-24 03:30:00,-664.7453191391432,
2021-12-24 04:00:00,-656.3256958258917,
2021-12-24 06:00:00,-656.3256958258917,
2021-12-24 08:00:00,-656.3256958258917,
2021-12-24 10:30:00,-656.3256958258917,
2021-12-24 11:00:00,-656.3256958258917,
2021-12-24 23:59:59,-662.1199445899529,w
2021-12-27 00:00:00,-662.1199445899529,
2021-12-27 03:30:00,-662.1199445899529,
2021-12-27 04:00:00,-662.1199445899529,
2021-12-27 06:00:00,-662.1199445899529,
2021-12-27 08:00:00,-662.1199445899529,
2021-12-27 10:30:00,-662.1199445899529,
2021-12-27 11:00:00,-662.1199445899529,
2021-12-27 23:59:59,-662.1199445899529,c
2021-12-28 00:00:00,-630.5180759819177,
2021-12-28 03:30:00,-642.0581516403417,
2021-12-28 04:00:00,-638.2432051170545,
2021-12-28 06:00:00,-667.7421520776752,
2021-12-28 08:00:00,-655.4202206856589,
2021-12-28 10:30:00,-655.4202206856589,
2021-12-28 11:00:00,-655.4202206856589,
2021-12-28 23:59:59,-617.8773285387033,c
