date,EU_MSCI_DM_MIG_2023_Q1,meta
2023-03-17 06:00:00,-358.59255559284935,
2023-03-17 08:00:00,-358.59255559284935,
2023-03-17 10:30:00,-358.59255559284935,
2023-03-17 11:00:00,-358.59255559284935,
2023-03-17 23:59:59,-358.59255559284935,w
2023-03-20 00:00:00,-358.59255559284935,
2023-03-20 03:30:00,-358.59255559284935,
2023-03-20 04:00:00,-358.59255559284935,
2023-03-20 06:00:00,-358.59255559284935,
2023-03-20 08:00:00,-358.59255559284935,
2023-03-20 10:30:00,-358.59255559284935,
2023-03-20 11:00:00,-358.59255559284935,
2023-03-20 23:59:59,-358.59255559284935,c
2023-03-21 00:00:00,-358.59255559284935,
2023-03-21 03:30:00,-358.59255559284935,
2023-03-21 04:00:00,-358.59255559284935,
2023-03-21 06:00:00,-358.59255559284935,
2023-03-21 08:00:00,-358.59255559284935,
2023-03-21 10:30:00,-358.59255559284935,
2023-03-21 11:00:00,-358.59255559284935,
2023-03-21 23:59:59,-358.59255559284935,c
2023-03-22 00:00:00,-358.59255559284935,
2023-03-22 03:30:00,-358.59255559284935,
2023-03-22 04:00:00,-358.59255559284935,
2023-03-22 06:00:00,-358.59255559284935,
2023-03-22 08:00:00,-358.59255559284935,
2023-03-22 10:30:00,-358.59255559284935,
2023-03-22 11:00:00,-358.59255559284935,
2023-03-22 23:59:59,-358.59255559284935,c
2023-03-23 00:00:00,-358.59255559284935,
2023-03-23 03:30:00,-358.59255559284935,
2023-03-23 04:00:00,-358.59255559284935,
2023-03-23 06:00:00,-358.59255559284935,
2023-03-23 08:00:00,-358.59255559284935,
2023-03-23 10:30:00,-358.59255559284935,
2023-03-23 11:00:00,-358.59255559284935,
2023-03-23 23:59:59,-358.59255559284935,c
2023-03-24 00:00:00,-358.59255559284935,
2023-03-24 03:30:00,-358.59255559284935,
2023-03-24 04:00:00,-358.59255559284935,
2023-03-24 06:00:00,-358.59255559284935,
2023-03-24 08:00:00,-358.59255559284935,
2023-03-24 10:30:00,-358.59255559284935,
2023-03-24 11:00:00,-358.59255559284935,
2023-03-24 23:59:59,-358.59255559284935,w
2023-03-27 00:00:00,-358.59255559284935,
2023-03-27 03:30:00,-358.59255559284935,
2023-03-27 04:00:00,-358.59255559284935,
2023-03-27 06:00:00,-358.59255559284935,
2023-03-27 08:00:00,-358.59255559284935,
2023-03-27 10:30:00,-358.59255559284935,
2023-03-27 11:00:00,-358.59255559284935,
2023-03-27 23:59:59,-358.59255559284935,c
2023-03-28 00:00:00,-358.59255559284935,
2023-03-28 03:30:00,-358.59255559284935,
2023-03-28 04:00:00,-358.59255559284935,
2023-03-28 06:00:00,-358.59255559284935,
2023-03-28 08:00:00,-358.59255559284935,
2023-03-28 10:30:00,-358.59255559284935,
2023-03-28 11:00:00,-358.59255559284935,
2023-03-28 23:59:59,-358.59255559284935,c
