date,AS_MSCI_EM_REST_STAY_2022_Q4,meta
2022-12-23 20:00:00,-1610.052994833938,
2022-12-23 23:00:00,-1610.052994833938,
2022-12-23 23:59:59,-1652.6989020833807,w
2022-12-26 00:00:00,-1609.1644916696605,
2022-12-26 01:00:00,-1613.0784384716744,
2022-12-26 02:30:00,-1609.6657404989633,
2022-12-26 03:00:00,-1608.0675080014971,
2022-12-26 18:30:00,-1608.0675080014971,
2022-12-26 20:00:00,-1602.3912891175019,
2022-12-26 23:00:00,-1647.1135040344197,
2022-12-26 23:59:59,-1645.6824992288093,c
2022-12-27 00:00:00,-1641.2857028258932,
2022-12-27 01:00:00,-1610.60740987615,
2022-12-27 02:30:00,-1606.821634077939,
2022-12-27 03:00:00,-1605.994534771698,
2022-12-27 18:30:00,-1605.994534771698,
2022-12-27 20:00:00,-1732.8050852784395,
2022-12-27 23:00:00,-1758.2235241875937,
2022-12-27 23:59:59,-1766.1869065372593,c
2022-12-28 00:00:00,-1803.3637010059056,
2022-12-28 01:00:00,-1815.3823322198823,
2022-12-28 02:30:00,-1788.245618978066,
2022-12-28 03:00:00,-1790.810582665943,
2022-12-28 18:30:00,-1790.810582665943,
2022-12-28 20:00:00,-1790.810582665943,
2022-12-28 23:00:00,-1790.810582665943,
2022-12-28 23:59:59,-1813.293453604274,c
