date,MSCI_FACT_MTUM_HEDGED_2021_Q4,meta
2021-12-16 13:30:00,-1.9889382797377522,
2021-12-16 15:00:00,-9.238031864235808,
2021-12-16 15:30:30,-9.238031864235808,
2021-12-16 23:59:59,-1.565131352858657,c
2021-12-17 00:00:00,-19.176015536184167,
2021-12-17 10:00:00,-0.9621687089640858,
2021-12-17 10:30:00,-4.433319753889208,
2021-12-17 12:00:00,-7.323063045493683,
2021-12-17 13:30:00,-6.271258469854786,
2021-12-17 15:00:00,-12.375294325288209,
2021-12-17 15:30:30,-12.375294325288209,q
2021-12-17 23:59:59,-10.818753629662822,w
2021-12-20 00:00:00,-11.667369994716537,
2021-12-20 10:00:00,-5.505767531967194,
2021-12-20 10:30:00,-11.882454664419939,
2021-12-20 12:00:00,-3.7589754129627693,
2021-12-20 13:30:00,-2.459586812522346,
2021-12-20 15:00:00,0.37399665761236633,
2021-12-20 15:30:30,0.37399665761236633,
2021-12-20 23:59:59,-0.11038147430292611,c
2021-12-21 00:00:00,-2.6413383381459,
2021-12-21 10:00:00,-24.914583518900443,
2021-12-21 10:30:00,-29.387095578348024,
2021-12-21 12:00:00,-28.49156633872356,
2021-12-21 13:30:00,-28.16387243842881,
2021-12-21 15:00:00,-19.416011744272723,
2021-12-21 15:30:30,-19.416011744272723,
2021-12-21 23:59:59,-16.282930544872556,c
